user_id_str,info,whether_active,user_screen_name
255430770.0,F,no,Not found
396549156.0,F,no,Not found
92895763.0,M,no,Not found
7.57e+17,F,,Not found
265069320.0,F,no,Not found
2497727850.0,F,no,Not found
1437440348.0,F,no,Not found
3234250197.0,M,no,Not found
3258741314.0,M,no,Not found
2980928403.0,M,no,Not found
137685030.0,F,no,Not found
98434540.0,M,no,Not found
2219985456.0,M,yes,nadu_bda
7.49e+17,M,,Not found
2980059869.0,F,no,Not found
554493417.0,F,no,Not found
156171571.0,M,no,Not found
2865211326.0,F,no,Not found
761671164.0,F,no,Not found
453209717.0,M,no,Not found
16223638.0,F,no,Not found
54941507.0,M,no,Not found
1694032592.0,M,no,Not found
41701156.0,M,no,Not found
7.44e+17,F,,Not found
120068456.0,F,no,Not found
2790889266.0,M,no,Not found
107008766.0,F,no,Not found
234004339.0,F,no,Not found
453590509.0,F,no,Not found
1561239990.0,F,no,Not found
1148946805.0,M,no,Not found
66370007.0,M,no,Not found
297504225.0,F,no,Not found
291033211.0,M,no,Not found
540744250.0,M,no,Not found
2174216995.0,F,no,Not found
1655129347.0,F,no,Not found
1307262936.0,M,no,Not found
1017546403.0,M,no,Not found
2354303918.0,F,no,Not found
186287415.0,F,no,Not found
136371386.0,M,no,Not found
860548147.0,F,no,Not found
58875334.0,F,no,Not found
25976103.0,F,no,Not found
287128801.0,F,no,Not found
130496112.0,F,no,Not found
259875880.0,M,no,Not found
37907842.0,F,no,Not found
2987648555.0,M,no,Not found
2669215596.0,F,no,Not found
15605226.0,F,no,Not found
789256404.0,M,no,Not found
129433156.0,F,no,Not found
429016990.0,M,no,Not found
41451604.0,F,no,Not found
619427787.0,M,yes,OfficialPiyush
1552913352.0,F,no,Not found
101599701.0,F,no,Not found
223570235.0,F,no,Not found
21112079.0,M,no,Not found
479445356.0,F,no,Not found
225372484.0,F,no,Not found
1432265624.0,F,no,Not found
2463479774.0,F,no,Not found
493941380.0,F,yes,iamtrideep
289396177.0,M,no,Not found
112354863.0,M,no,Not found
79260733.0,M,no,Not found
126296982.0,F,no,Not found
376854086.0,F,no,Not found
84306077.0,F,no,Not found
4548191940.0,M,no,Not found
7.04e+17,F,,Not found
21689397.0,M,no,Not found
2395255403.0,M,no,Not found
2210273923.0,M,no,Not found
83318092.0,F,no,Not found
79436911.0,F,no,Not found
154600632.0,F,no,Not found
994686457.0,M,no,Not found
149431832.0,F,no,Not found
153994363.0,F,no,Not found
101782427.0,M,no,Not found
145552068.0,F,no,Not found
524732951.0,M,no,Not found
752434454.0,M,no,Not found
40078503.0,M,no,Not found
1180539758.0,F,no,Not found
7.93e+17,M,,Not found
280370764.0,F,no,Not found
320756388.0,M,no,Not found
485556712.0,F,no,Not found
48938077.0,M,no,Not found
317774985.0,M,no,Not found
234641258.0,F,no,Not found
170651537.0,F,no,Not found
194944968.0,F,no,Not found
2450096531.0,F,no,Not found
2984476775.0,F,no,Not found
48569961.0,M,no,Not found
134019610.0,M,no,Not found
524390443.0,M,no,Not found
36278363.0,M,no,Not found
22477252.0,M,no,Not found
724573190.0,M,no,Not found
73984919.0,F,no,Not found
7.25e+17,F,,Not found
14156531.0,F,no,Not found
2685131954.0,M,no,Not found
15488009.0,M,no,Not found
6177832.0,M,no,Not found
76912915.0,M,no,Not found
79725820.0,F,no,Not found
2353242859.0,F,no,Not found
227558783.0,F,no,Not found
68657683.0,M,no,Not found
34930255.0,M,no,Not found
2404991192.0,F,no,Not found
425825960.0,M,no,Not found
7.06e+17,F,,Not found
19412382.0,F,no,Not found
1860643051.0,F,no,Not found
723243194.0,M,no,Not found
409166295.0,M,no,Not found
7.8e+17,F,,Not found
21850842.0,M,no,Not found
540223123.0,M,no,Not found
7.94e+17,F,,Not found
3295303734.0,M,no,Not found
7.94e+17,M,,Not found
7.94e+17,F,,Not found
1705468489.0,M,no,Not found
440069397.0,F,no,Not found
2414858826.0,M,no,Not found
22195874.0,M,no,Not found
16388482.0,M,no,Not found
42853357.0,M,no,Not found
1245377257.0,M,no,Not found
64897527.0,M,no,Not found
16999368.0,F,no,Not found
43205023.0,M,no,Not found
481573383.0,M,no,Not found
3188314726.0,M,no,Not found
2755420775.0,M,no,Not found
929624545.0,M,no,Not found
160500308.0,M,no,Not found
106843636.0,M,no,Not found
32131007.0,M,no,Not found
16031661.0,M,no,Not found
499464698.0,M,no,Not found
19857548.0,M,no,Not found
2824549028.0,M,no,Not found
246987245.0,M,no,Not found
127919462.0,M,no,Not found
541238494.0,M,no,Not found
75980633.0,M,no,Not found
227640177.0,M,no,Not found
80354812.0,F,no,Not found
3195003018.0,F,no,Not found
96982320.0,M,no,Not found
23695124.0,M,no,Not found
3459096634.0,F,no,Not found
1443351012.0,F,no,Not found
89850915.0,F,no,Not found
30260663.0,M,no,Not found
2865599865.0,F,no,Not found
231052516.0,M,no,Not found
331481523.0,F,no,Not found
2688190572.0,M,no,Not found
7.87e+17,M,,Not found
401160259.0,M,no,Not found
50972311.0,F,no,Not found
2467103148.0,M,yes,Tower_Tramp
3091359827.0,M,no,Not found
2395197084.0,M,no,Not found
1955591882.0,M,no,Not found
1708132520.0,F,no,Not found
493514962.0,F,no,Not found
2259222409.0,F,no,Not found
2193608857.0,F,no,Not found
2274181766.0,F,no,Not found
97015006.0,M,no,Not found
2960180055.0,M,no,Not found
4387461.0,F,no,Not found
489094745.0,M,no,Not found
44578594.0,F,no,Not found
334116390.0,F,no,Not found
14244836.0,M,no,Not found
182114612.0,M,no,Not found
459694718.0,F,no,Not found
80040576.0,F,no,Not found
34282723.0,F,no,Not found
180331674.0,F,no,Not found
143616096.0,M,no,Not found
44645600.0,M,no,Not found
20045431.0,F,no,Not found
53454531.0,M,no,Not found
2242214617.0,M,no,Not found
7.86e+17,F,,Not found
13220972.0,F,no,Not found
161449578.0,F,no,Not found
2471882927.0,M,no,Not found
1658664860.0,M,no,Not found
147572461.0,F,no,Not found
16049859.0,M,no,Not found
383083991.0,F,no,Not found
16630250.0,F,no,Not found
281620069.0,F,no,Not found
39454604.0,M,no,Not found
35541189.0,F,no,Not found
206062743.0,M,no,Not found
46408133.0,F,no,Not found
3811502293.0,F,no,Not found
180854053.0,M,no,Not found
156226234.0,M,no,Not found
20158291.0,M,no,Not found
156664343.0,F,no,Not found
7.63e+17,F,,Not found
7.63e+17,F,,Not found
26475128.0,F,no,Not found
3447333252.0,M,no,Not found
36714114.0,F,no,Not found
230626212.0,F,no,Not found
33490437.0,F,no,Not found
30112164.0,F,no,Not found
7.29e+17,F,,Not found
203874607.0,F,no,Not found
283512386.0,F,no,Not found
613496890.0,M,no,Not found
1188929052.0,F,no,Not found
463819805.0,F,no,Not found
36136637.0,M,no,Not found
166720784.0,M,no,Not found
257320677.0,M,no,Not found
3064134913.0,F,no,Not found
14934017.0,F,no,Not found
48097506.0,F,no,Not found
18596959.0,F,no,Not found
7.92e+17,F,,Not found
319457278.0,F,no,Not found
4176798072.0,F,no,Not found
43406190.0,M,no,Not found
239057382.0,M,no,Not found
30981617.0,M,no,Not found
1675908295.0,M,no,Not found
18821935.0,F,no,Not found
60760606.0,M,no,Not found
298791247.0,F,no,Not found
14725241.0,M,no,Not found
33829621.0,F,no,Not found
485223335.0,F,no,Not found
84115838.0,M,no,Not found
7.33e+17,F,,Not found
3329627669.0,F,no,Not found
2151837433.0,M,no,Not found
1532349217.0,M,no,Not found
19236015.0,F,no,Not found
140830709.0,M,no,Not found
283168534.0,M,no,Not found
6927562.0,F,no,Not found
160326340.0,F,no,Not found
158697330.0,F,no,Not found
87287475.0,F,no,Not found
2886602575.0,M,no,Not found
101496743.0,M,no,Not found
264910184.0,F,no,Not found
7.67e+17,F,,Not found
2953950819.0,M,no,Not found
113181276.0,F,no,Not found
333867039.0,F,no,Not found
19860569.0,M,no,Not found
4028697493.0,F,no,Not found
43370459.0,M,no,Not found
746637564.0,M,no,Not found
28070351.0,M,no,Not found
57340573.0,M,no,Not found
166096228.0,M,no,Not found
7.57e+17,F,,Not found
1328586871.0,F,no,Not found
39936715.0,M,no,Not found
1015987736.0,M,no,Not found
4252076728.0,F,no,Not found
72342053.0,M,no,Not found
449556346.0,F,no,Not found
467554781.0,M,no,Not found
146850968.0,F,no,Not found
2586648276.0,M,no,Not found
17641725.0,M,no,Not found
339825758.0,M,no,Not found
394339719.0,M,no,Not found
153682905.0,F,no,Not found
1684636556.0,F,no,Not found
6456692.0,F,no,Not found
71190470.0,F,no,Not found
52669647.0,F,no,Not found
22078940.0,M,no,Not found
1107690745.0,M,no,Not found
7.73e+17,F,,Not found
44737051.0,M,no,Not found
90924839.0,F,no,Not found
96779709.0,F,no,Not found
7.78e+17,M,,Not found
331483931.0,M,no,Not found
273988875.0,F,no,Not found
3127117599.0,M,no,Not found
86866410.0,F,no,Not found
21671483.0,M,no,Not found
300931329.0,F,no,Not found
1056165000.0,F,no,Not found
2535272502.0,M,no,Not found
329304994.0,M,no,Not found
3346971111.0,M,no,Not found
15212202.0,M,no,Not found
32653092.0,F,no,Not found
40936936.0,F,no,Not found
264218502.0,F,no,Not found
2573219121.0,M,no,Not found
189975748.0,F,no,Not found
31343671.0,F,no,Not found
347780670.0,F,no,Not found
19919515.0,F,yes,BenMyatt74
7287622.0,M,no,Not found
481567669.0,F,no,Not found
